,accuracy,precision,recall,f1,roc_auc,f1_default_threshold,threshold
XGBoost,0.8423,0.6309,0.7147,0.6701,0.8922,0.6607,0.5775
XGBoost (Tuned),0.8436,0.6362,0.7059,0.6692,0.8903,0.6661,0.5332
Blended Ensemble (Stacking + MLP),0.8351,0.6105,0.7299,0.6649,0.8914,0.6484,0.609
Stacking Ensemble,0.8426,0.6364,0.6951,0.6644,0.8894,0.6521,0.665
Deep Learning (MLP),0.84,0.632,0.6856,0.6577,0.8862,0.6377,0.6657
Gradient Boosting,0.8385,0.6272,0.6891,0.6567,0.8812,0.642,0.6148
Random Forest,0.8319,0.6102,0.6929,0.6489,0.881,0.633,0.4035
"SVM (RBF, subsampled)",0.8202,0.5787,0.7285,0.645,0.8696,0.6159,0.3143
Logistic Regression,0.8164,0.5761,0.6856,0.6261,0.8597,0.6149,0.5967
Decision Tree,0.825,0.6095,0.61,0.6098,0.8256,0.5969,0.6976
